run_id,model,run_dir,epochs,learning_rate,optimizer,weight_decay,scheduler,loss,best_epoch,val_mean_iou,test_mean_iou,test_pixel_accuracy
optuna_all_ep10_unet_resnet34_trial010_ep10_lr9p53884em05_adam_wd0_plateau,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial010_ep10_lr9p53884em05_adam_wd0_plateau,10,9.538839436462497e-05,adam,0.0,plateau,,10,0.489975,,
optuna_all_ep10_unet_resnet34_trial011_ep10_lr9p01761em05_adam_wd0_plateau,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial011_ep10_lr9p01761em05_adam_wd0_plateau,10,9.017613421524532e-05,adam,0.0,plateau,,10,0.484867,,
optuna_all_ep10_unet_resnet34_trial012_ep10_lr6p23099em05_adam_wd0_plateau,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial012_ep10_lr6p23099em05_adam_wd0_plateau,10,6.230989238482034e-05,adam,0.0,plateau,,10,0.453261,,
optuna_all_ep10_unet_resnet34_trial013_ep10_lr5p05967em05_adam_wd0_plateau,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial013_ep10_lr5p05967em05_adam_wd0_plateau,10,5.059673516443075e-05,adam,0.0,plateau,,10,0.428793,,
optuna_all_ep10_unet_resnet34_trial014_ep10_lr7p06732em05_adam_wd0_plateau,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial014_ep10_lr7p06732em05_adam_wd0_plateau,10,7.067323931843216e-05,adam,0.0,plateau,,10,0.471475,,
optuna_all_ep10_unet_resnet34_trial015_ep10_lr3p94073em05_adam_wd0_plateau,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial015_ep10_lr3p94073em05_adam_wd0_plateau,10,3.940732059725347e-05,adam,0.0,plateau,,10,0.405664,,
optuna_all_ep10_unet_resnet34_trial016_ep10_lr8p94858em05_adam_wd0_plateau,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial016_ep10_lr8p94858em05_adam_wd0_plateau,10,8.948583187123508e-05,adam,0.0,plateau,,10,0.491328,,
optuna_all_ep10_unet_resnet34_trial017_ep10_lr6p17783em05_adam_wd0_plateau,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial017_ep10_lr6p17783em05_adam_wd0_plateau,10,6.177827793701867e-05,adam,0.0,plateau,,10,0.457799,,
optuna_all_ep10_unet_resnet34_trial018_ep10_lr9p76319em05_adamw_wd9p81823em05_plateau,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial018_ep10_lr9p76319em05_adamw_wd9p81823em05_plateau,10,9.763190534227069e-05,adamw,9.818226878189116e-05,plateau,,10,0.483894,,
optuna_all_ep10_unet_resnet34_trial019_ep10_lr4p4773em05_adam_wd0_plateau,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\optuna_all_ep10_unet_resnet34_trial019_ep10_lr4p4773em05_adam_wd0_plateau,10,4.477295959304507e-05,adam,0.0,plateau,,10,0.426542,,
